PassengerID|SegmentID|LegNumber|InventoryLegID|DepartureDetail|ArrivalDetail|JourneyNumber|BookingStatus|SeatPreference|SeatTogetherPreference|CompartmentDesignator|UnitDesignator|UnitAssignmentWeight|BoardingSequence|LiftStatus|PriorityCode|PriorityDate|CreatedAgentID|CreatedDate|ModifiedAgentID|ModifiedDate|extract_dt|source|proc_status
169398995|299930616|1|2982168|||2|HK|N|0|Y|9D|0|179|2||2019-01-25 14:59:13.020|2281553|2019-01-25 14:59:12.297|3578746|2019-01-25 20:45:27.593|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169355940|300435608|1|2984652|||2|HK|N|0|Y|8A|0|115|2||2019-01-29 16:32:21.563|4948966|2019-01-29 16:32:21.513|5157280|2019-01-30 11:44:56.083|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169354875|299189275|1|2983390|||2|HK||1|||0|0|3||2019-01-20 18:17:57.820|5461436|2019-01-20 18:17:57.617|5375591|2019-01-28 16:28:55.053|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169354875|299189274|1|2983603|||2|HK||1|||0|0|3||2019-01-20 18:17:57.820|5461436|2019-01-20 18:17:57.617|5408463|2019-05-16 03:43:19.707|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169354874|299189273|1|2983390|||2|HK||1|||0|0|3||2019-01-20 18:17:57.820|5461436|2019-01-20 18:17:57.617|5375591|2019-01-28 16:28:55.053|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169354874|299189272|1|2983603|||2|HK||1|Y|22B|0|0|3||2019-01-20 18:17:57.820|5461436|2019-01-20 18:17:57.617|5408463|2019-05-16 03:43:19.707|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169354873|299189271|1|2983390|||2|HK||1|||0|0|3||2019-01-20 18:17:57.820|5461436|2019-01-20 18:17:57.617|5375591|2019-01-28 16:28:55.053|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169354873|299189270|1|2983603|||2|HK||1|Y|22C|0|0|3||2019-01-20 18:17:57.820|5461436|2019-01-20 18:17:57.617|5408463|2019-05-16 03:43:19.707|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169345198|298102384|1|2976540|||2|HK|R|0|Y|16A|0|74|2||2019-01-13 03:39:05.043|5421773|2019-01-13 03:39:04.990|5243374|2019-01-14 07:53:06.230|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169345197|298102383|1|2976540|||2|HK|R|0|Y|16B|0|72|2||2019-01-13 03:39:05.043|5421773|2019-01-13 03:39:04.990|5243374|2019-01-14 07:53:14.777|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169291975|299442721|1|2980441|||1|HK|N|1|Y|21E|0|144|2||2019-01-22 12:00:15.060|3659146|2019-01-22 12:00:15.047|4653982|2019-01-22 15:29:06.140|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169291974|299442720|1|2980441|||1|HK|N|1|Y|21D|0|143|2||2019-01-22 12:00:15.060|3659146|2019-01-22 12:00:15.047|4653982|2019-01-22 15:29:27.023|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169277008|298276289|1|2984359|||4|HK|N|0|Y|2F|0|134|2||2019-01-14 11:35:51.570|19|2019-01-14 11:35:51.560|3594416|2019-01-30 07:25:34.830|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169266413|300619559|1|2984739|||2|HK|N|0|Y|4D|0|185|2||2019-01-30 17:42:32.077|5080937|2019-01-30 17:42:32.030|5346674|2019-01-30 18:31:40.320|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169248108|297790185|1|2974135|||1|HK|N|0|Y|7F|0|114|2||2019-01-10 12:27:51.333|5489817|2019-01-10 12:27:51.120|4048081|2019-01-10 15:34:40.587|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169229620|298965558|1|2979059|||1|HK||0|||0|0|3||2019-01-18 13:27:39.673|5421773|2019-01-18 13:27:39.630|4882598|2019-02-27 11:54:15.260|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169229619|298965557|1|2979059|||1|HK||0|||0|0|3||2019-01-18 13:27:39.673|5421773|2019-01-18 13:27:39.630|4882598|2019-02-27 11:54:15.260|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169139535|298978688|1|2978126|||2|HK|N|0|Y|1E|0|165|2||2019-01-18 14:48:59.290|71574|2019-01-18 14:48:59.253|5344381|2019-01-18 16:09:44.010|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169089325|299986436|1|2984764|||1|HK||0|||0|0|3||2019-01-25 23:36:34.517|5107871|2019-01-25 23:36:34.407|5664301|2019-02-12 17:46:28.417|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169067097|298940657|1|2982416|||2|HK|R|0|Y|18B|0|76|2||2019-01-18 11:05:39.953|5388709|2019-01-18 11:05:39.923|5715925|2019-01-26 09:06:39.733|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169059786|296797655|1|2970199|||2|HK|N|1|Y|4A|0|167|2||2019-01-02 14:26:02.273|3489443|2019-01-02 14:26:02.020|5398821|2019-01-02 14:59:47.470|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169059785|296797654|1|2970199|||2|HK|N|1|Y|4B|0|166|2||2019-01-02 14:26:02.273|3489443|2019-01-02 14:26:02.020|5398821|2019-01-02 14:59:49.863|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169003731|299407873|1|2995959|||3|HK|N|0|Y|19E|0|0|3||2019-01-22 09:11:51.357|10|2019-01-22 09:11:51.333|4751008|2019-02-21 21:37:02.760|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169003731|298979543|1|2996220|||2|HK||1|||0|0|3||2019-01-18 14:55:02.060|19|2019-01-18 14:55:02.033|5478157|2019-02-21 10:00:42.137|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169003731|298979542|1|2995961|||2|HK||1|||0|0|3||2019-01-18 14:55:02.060|19|2019-01-18 14:55:02.033|3561284|2019-02-21 07:39:19.363|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169003730|299407871|1|2995959|||3|HK|N|0|Y|19F|0|0|3||2019-01-22 09:11:51.357|10|2019-01-22 09:11:51.333|4751008|2019-02-21 21:37:02.760|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169003730|298979541|1|2996220|||2|HK||1|||0|0|3||2019-01-18 14:55:02.060|19|2019-01-18 14:55:02.033|5478157|2019-02-21 10:00:41.980|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
169003730|298979540|1|2995961|||2|HK||1|||0|0|3||2019-01-18 14:55:02.060|19|2019-01-18 14:55:02.033|3561284|2019-02-21 07:39:19.363|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168993844|297260679|1|2972754|||2|HK|N|0|Y|3F|0|222|2||2019-01-07 10:14:17.300|3627202|2019-01-07 10:14:17.220|5696829|2019-01-07 14:40:58.547|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168993827|299486869|1|2980634|||2|HK|N|0|Y|28E|0|233|2||2019-01-22 16:30:34.003|5080937|2019-01-22 16:30:33.830|3740826|2019-01-22 16:51:07.377|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168865457|297974742|1|2974861|||1|HK|N|1|Y|3E|0|119|2||2019-01-11 13:10:07.157|2150785|2019-01-11 13:10:07.080|4280844|2019-01-11 19:50:44.930|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168865456|297974741|1|2974861|||1|HK|N|1|Y|2C|0|118|2||2019-01-11 13:10:07.157|2150785|2019-01-11 13:10:07.080|4280844|2019-01-11 19:50:42.283|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168804788|297789055|1|2978485|||2|HK|R|0|Y|26F|0|58|2||2019-01-10 12:21:19.510|21|2019-01-10 12:21:20.907|5451795|2019-01-18 13:34:00.927|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168799404|296718071|1|2969788|||2|HK|N|0|Y|8D|0|132|2||2019-01-01 15:35:58.910|3334483|2019-01-01 15:35:58.770|5335846|2019-01-01 19:28:57.270|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168799403|296718070|1|2969788|||2|HK|N|0|Y|7C|0|133|2||2019-01-01 15:35:58.910|3334483|2019-01-01 15:35:58.770|5335846|2019-01-01 19:28:40.190|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168669664|298102014|1|2976539|||2|HK|R|0|Y|32B|0|164|2||2019-01-13 03:11:12.197|5421773|2019-01-13 03:11:12.200|3710244|2019-01-14 05:38:35.707|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168669663|298102013|1|2976539|||2|HK|R|0|Y|32A|0|173|2||2019-01-13 03:11:12.197|5421773|2019-01-13 03:11:12.200|3710244|2019-01-14 05:38:30.533|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168664334|296942012|1|2971360|||2|HK|N|0|Y|7F|0|129|2||2019-01-03 18:08:16.207|3594488|2019-01-03 18:08:15.833|3594423|2019-01-04 05:59:03.567|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168623882|296818804|1|2970072|||2|HK|N|1|Y|3E|0|162|2||2019-01-02 17:07:14.687|3547109|2019-01-02 17:07:14.230|3657768|2019-01-02 19:52:46.543|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168623881|296818803|1|2970072|||2|HK|N|1|Y|3C|0|161|2||2019-01-02 17:07:14.687|3547109|2019-01-02 17:07:14.230|3657768|2019-01-02 19:52:51.860|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168623880|296818802|1|2970072|||2|HK|N|1|Y|3D|0|160|2||2019-01-02 17:07:14.687|3547109|2019-01-02 17:07:14.230|3657768|2019-01-02 19:51:50.253|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168604681|298067228|1|2978928|||2|HK|R|0|Y|22C|0|19|2||2019-01-12 07:20:26.917|3527082|2019-01-12 07:20:27.067|3657744|2019-01-19 11:28:50.173|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168537714|299349979|1|2980772|||2|HK||1|||0|0|0||2019-01-21 18:51:06.840|19|2019-01-21 18:51:06.817|19|2019-01-21 18:51:06.817|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168501295|296733809|1|2970424|||1|HK||0|||0|0|3||2019-01-01 19:37:36.390|2299759|2019-01-01 19:37:36.377|3540314|2019-01-03 21:33:00.947|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168480302|296929166|1|2973573|||2|HK||1|||0|102|2||2019-01-03 16:31:57.430|2299759|2019-01-03 16:31:57.307|13|2019-01-09 07:32:04.770|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168451334|298111045|1|2976015|||2|HK|N|1|Y|14C|0|169|2||2019-01-13 08:59:40.790|5530213|2019-01-13 08:59:40.550|4688171|2019-01-13 11:15:57.910|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168451333|298111044|1|2976015|||2|HK|N|1|Y|14D|0|168|2||2019-01-13 08:59:40.790|5530213|2019-01-13 08:59:40.550|4688171|2019-01-13 11:15:52.423|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168451332|298111043|1|2976015|||2|HK|N|1|Y|14E|0|167|2||2019-01-13 08:59:40.790|5530213|2019-01-13 08:59:40.550|4688171|2019-01-13 11:16:02.457|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168451331|298111042|1|2976015|||2|HK|N|1|Y|14F|0|166|2||2019-01-13 08:59:40.790|5530213|2019-01-13 08:59:40.550|4688171|2019-01-13 11:15:55.487|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168446472|298946716|1|2978556|||1|HK|N|0|Y|24F|0|187|2||2019-01-18 11:39:05.967|19|2019-01-18 11:39:05.903|3784375|2019-01-18 12:49:34.100|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168392117|298183922|1|2989377|||2|HK|N|0|Y|6C|0|42|2||2019-01-13 19:24:02.657|2299759|2019-01-13 19:24:02.567|5418070|2019-02-08 13:09:15.063|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168392117|298183921|1|2987327|||1|HK|N|0|Y|6C|0|34|2||2019-01-13 19:24:02.657|2299759|2019-01-13 19:24:02.567|13|2019-02-04 07:48:31.613|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168387266|296755385|1|2972952|||2|HK|N|1|Y|4A|0|89|2||2019-01-02 08:29:21.270|21|2019-01-02 08:29:20.597|3540312|2019-01-07 08:38:04.920|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168387265|296755384|1|2972952|||2|HK|N|1|Y|4B|0|88|2||2019-01-02 08:29:21.270|21|2019-01-02 08:29:20.597|3540312|2019-01-07 08:38:06.620|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168363408|297805397|1|2974770|||1|HK|N|0|Y|6A|0|64|2||2019-01-10 13:50:28.483|5530236|2019-01-10 13:50:27.353|3657712|2019-01-11 09:14:09.970|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168363408|297805394|1|2974201|||1|HK|R|0|Y|22A|0|95|2||2019-01-10 13:50:28.483|5530236|2019-01-10 13:50:27.353|5301350|2019-01-11 08:13:40.147|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168296615|298795418|1|2996402|||1|HK|N|0|Y|11A|0|191|2||2019-01-17 11:48:18.523|2299759|2019-01-17 11:48:18.480|71640|2019-02-24 17:33:57.627|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168283330|297396425|1|2983649|||2|HK|R|0|Y|16B|0|19|2||2019-01-08 09:02:16.437|21|2019-01-08 09:02:16.000|5681148|2019-01-28 20:39:51.150|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168283329|297396424|1|2983649|||2|HK|R|0|Y|16C|0|18|2||2019-01-08 09:02:16.437|21|2019-01-08 09:02:16.000|5681148|2019-01-28 20:40:07.213|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168266258|297035579|1|2971022|||1|HK|N|0|Y|12C|0|181|2||2019-01-04 15:13:31.370|2242339|2019-01-04 15:13:31.213|5107168|2019-01-04 20:15:55.743|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168102052|298446536|1|2976913|||2|HK|N|0|Y|5B|0|140|2||2019-01-15 12:16:02.917|4544169|2019-01-15 12:16:02.897|3561548|2019-01-15 15:17:05.490|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168022263|297262489|1|2972754|||1|HK|N|0|Y|5E|0|170|2||2019-01-07 10:25:23.773|3627202|2019-01-07 10:25:23.660|5066557|2019-01-07 14:43:59.200|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168022262|297262488|1|2972754|||1|HK|N|0|Y|5F|0|169|2||2019-01-07 10:25:23.773|3627202|2019-01-07 10:25:23.660|5066557|2019-01-07 14:43:59.460|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168003862|297000981|1|2971165|||1|HK|N|1|Y|3A|0|153|2||2019-01-04 10:47:23.823|5363203|2019-01-04 10:47:23.617|3594270|2019-01-04 16:24:11.007|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168003860|297000980|1|2971165|||1|HK|N|0|Y|3B|0|152|2||2019-01-04 10:47:23.823|5363203|2019-01-04 10:47:23.617|3594270|2019-01-04 16:24:13.653|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
168003857|297000979|1|2971165|||1|HK|N|0|Y|3C|0|151|2||2019-01-04 10:47:23.823|5363203|2019-01-04 10:47:23.617|3594270|2019-01-04 16:23:45.260|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
167875085|297990779|1|2974930|||2|HK|N|0|Y|34F|0|183|2||2019-01-11 14:48:44.123|5261046|2019-01-11 14:48:43.913|5328526|2019-01-11 16:55:03.000|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
167809142|297028354|1|2971187|||1|HK|R|0|Y|18B|100|186|2||2019-01-04 14:10:19.657|3865275|2019-01-04 14:10:19.597|4582642|2019-01-04 17:19:46.907|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
167805763|297027703|1|2971187|||1|HK|R|0|Y|17A|100|188|2||2019-01-04 14:04:52.420|3865275|2019-01-04 14:04:52.447|4582642|2019-01-04 17:19:41.943|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
167805597|297133393|1|2973938|||1|HK||1|||0|0|3||2019-01-05 17:19:41.730|5691273|2019-01-05 17:19:41.103|4595342|2019-01-10 05:26:03.103|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
167801949|297027726|1|2971187|||1|HK|R|0|Y|8C|100|185|2||2019-01-04 14:05:06.950|3865275|2019-01-04 14:05:06.957|4582642|2019-01-04 17:19:56.133|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
167795825|296860588|1|2971322|||1|HK||0|Y|1B|0|137|2||2019-01-03 05:54:11.317|3128972|2019-01-03 05:54:10.867|3594293|2019-01-04 05:25:24.830|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
167795825|296860587|1|2970366|||1|HK||0|Y|12A|0|146|2||2019-01-03 05:54:11.317|3128972|2019-01-03 05:54:10.867|3561345|2019-01-03 19:34:00.470|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
167733189|297990518|1|2977338|||2|HK|N|1|Y|20C|0|29|2||2019-01-11 14:46:55.520|4948966|2019-01-11 14:46:55.937|4595364|2019-01-16 20:53:23.847|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
167733189|297990517|1|2977499|||2|HK|N|1|Y|20C|0|95|2||2019-01-11 14:46:55.520|4948966|2019-01-11 14:46:55.937|3594893|2019-01-16 16:57:50.747|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
167733189|297943798|1|2975802|||1|HK||1|Y|3C|0|152|2||2019-01-11 10:43:32.623|5421773|2019-01-11 10:43:32.607|3657703|2019-01-13 08:46:08.270|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
167733188|297990516|1|2977338|||2|HK|N|1|Y|20B|0|28|2||2019-01-11 14:46:55.520|4948966|2019-01-11 14:46:55.937|4595364|2019-01-16 20:53:27.673|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
167733188|297990515|1|2977499|||2|HK|N|1|Y|20B|0|94|2||2019-01-11 14:46:55.520|4948966|2019-01-11 14:46:55.937|3594893|2019-01-16 16:51:58.307|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
167733188|297943797|1|2975802|||1|HK||1|Y|3A|0|151|2||2019-01-11 10:43:32.623|5421773|2019-01-11 10:43:32.607|3657703|2019-01-13 08:46:03.990|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
167733187|297990513|1|2977338|||2|HK|R|1|Y|20A|0|27|2||2019-01-11 14:46:55.520|4948966|2019-01-11 14:46:55.937|4595364|2019-01-16 20:53:16.250|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
167733187|297990512|1|2977499|||2|HK|R|1|Y|20A|0|93|2||2019-01-11 14:46:55.520|4948966|2019-01-11 14:46:55.937|3594893|2019-01-16 16:57:43.540|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
167733187|297943796|1|2975802|||1|HK||1|Y|3B|0|150|2||2019-01-11 10:43:32.623|5421773|2019-01-11 10:43:32.607|3657703|2019-01-13 08:45:58.380|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
167595462|297100378|1|2972341|||2|HK|N|0|Y|12C|0|150|2||2019-01-05 10:42:38.973|2299759|2019-01-05 10:42:39.463|5251262|2019-01-06 20:20:42.863|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
167555362|296826084|1|2970220|||1|HK|N|1|Y|1C|0|136|2||2019-01-02 18:13:52.907|3334483|2019-01-02 18:13:52.673|5342147|2019-01-02 21:23:38.663|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
167555361|296826083|1|2970220|||1|HK|N|1|Y|1D|0|135|2||2019-01-02 18:13:52.907|3334483|2019-01-02 18:13:52.673|5342147|2019-01-02 21:23:43.577|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
167555360|296826080|1|2970220|||1|HK|N|1|Y|1E|0|134|2||2019-01-02 18:13:52.907|3334483|2019-01-02 18:13:52.673|5342147|2019-01-02 21:23:48.497|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
167555359|296826079|1|2970220|||1|HK|N|1|Y|1F|0|133|2||2019-01-02 18:13:52.907|3334483|2019-01-02 18:13:52.673|5342147|2019-01-02 21:23:53.423|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
167494802|300093907|1|2991491|||3|HK||1|||0|0|3||2019-01-27 12:19:21.433|19|2019-01-27 12:19:21.393|5414795|2019-02-12 19:02:46.577|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
167494801|296755949|1|2981060|||2|HK|R|0|Y|19A|0|1|2||2019-01-02 08:37:48.557|19|2019-01-02 08:37:48.453|3578630|2019-01-23 04:36:19.930|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
167343951|296701498|1|2969551|||2|HK|N|0|Y|12E|0|164|2||2019-01-01 09:23:38.190|3349734|2019-01-01 09:23:38.077|3354434|2019-01-01 09:48:14.313|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
166941114|300276113|1|2983562|||1|HK|N|1|Y|3D|0|166|2||2019-01-28 17:00:48.787|3594489|2019-01-28 17:00:48.757|5418074|2019-01-28 18:35:24.490|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
166941114|297993919|1|2983838|||1|HK|R|0|Y|25B|0|100|2||2019-01-11 15:03:08.013|16|2019-01-11 15:03:07.703|5454015|2019-01-28 14:06:18.977|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
166941113|300276112|1|2983562|||1|HK|N|1|Y|3E|0|165|2||2019-01-28 17:00:48.787|3594489|2019-01-28 17:00:48.757|5418074|2019-01-28 18:35:19.863|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
166941113|297993917|1|2983838|||1|HK|R|0|Y|25A|0|99|2||2019-01-11 15:03:08.013|16|2019-01-11 15:03:07.703|5454015|2019-01-28 14:06:16.353|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
166796724|298477338|1|2989665|||1|HK|N|0|Y|19A|0|123|2||2019-01-15 15:00:42.247|10|2019-01-15 15:00:42.237|5514817|2019-02-09 17:41:35.200|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
166796724|298477337|1|2989983|||1|HK|N|0|Y|8B|0|147|2||2019-01-15 15:00:42.247|10|2019-01-15 15:00:42.237|5639063|2019-02-09 12:35:47.543|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
166796722|298477336|1|2989665|||1|HK|N|0|Y|19B|0|122|2||2019-01-15 15:00:42.247|10|2019-01-15 15:00:42.237|5514817|2019-02-09 17:41:17.480|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
166796722|298477335|1|2989983|||1|HK|N|0|Y|8C|0|146|2||2019-01-15 15:00:42.247|10|2019-01-15 15:00:42.237|5639063|2019-02-09 12:35:54.480|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
166796721|298477334|1|2989665|||1|HK|R|0|Y|17D|0|121|2||2019-01-15 15:00:42.247|10|2019-01-15 15:00:42.237|5514817|2019-02-09 17:40:56.607|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
166796721|298477333|1|2989983|||1|HK|N|0|Y|8D|0|145|2||2019-01-15 15:00:42.247|10|2019-01-15 15:00:42.237|5639063|2019-02-09 12:31:55.963|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
166796720|298477332|1|2989665|||1|HK|R|0|Y|17E|0|120|2||2019-01-15 15:00:42.247|10|2019-01-15 15:00:42.237|5514817|2019-02-09 17:42:05.437|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
166796720|298477331|1|2989983|||1|HK|N|0|Y|17A|0|144|2||2019-01-15 15:00:42.247|10|2019-01-15 15:00:42.237|5639063|2019-02-09 12:31:47.960|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
166796719|298477330|1|2989665|||1|HK|N|0|Y|19E|0|119|2||2019-01-15 15:00:42.247|10|2019-01-15 15:00:42.237|5514817|2019-02-09 17:40:12.103|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
166796719|298477329|1|2989983|||1|HK|N|0|Y|19E|0|143|2||2019-01-15 15:00:42.247|10|2019-01-15 15:00:42.237|5639063|2019-02-09 12:31:43.570|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
166762799|296705709|1|2969448|||1|HK|N|0|Y|14A|0|143|2||2019-01-01 11:22:23.513|71546|2019-01-01 11:22:23.363|4532530|2019-01-01 16:15:08.660|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
166626424|297244445|1|2973129|||2|HK|N|0|Y|2F|0|143|2||2019-01-07 07:34:21.500|2199703|2019-01-07 07:34:21.377|4519885|2019-01-08 14:38:54.470|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
166462258|296978271|1|2970934|||2|HK|R|0|Y|18B|0|123|2||2019-01-04 06:40:52.217|5448906|2019-01-04 06:40:51.953|5418074|2019-01-04 15:23:26.330|2024-11-14 11:17:26|PassengerJourneyLeg|extracted
