"BookingID","BookingParentID","Status","RecordLocator","BookingPromoCode","CurrencyCode","HoldDateTime","ExpiredDate","PriceStatus","PaidStatus","SystemCode","ChannelType","CreatedAgentCode","CreatedOrganizationCode","CreatedDomainCode","CreatedLocationCode","SourceAgentCode","SourceOrganizationCode","SourceDomainCode","SourceLocationCode","ReferralCode","GroupName","ReceivedBy","ReceivedByReference","ProfileStatus","PaxResidentCountry","CreatedSystemType","BookingDate","BookingType","OwningCarrierCode","CreatedAgentID","CreatedDate","ModifiedAgentID","ModifiedDate"
105597855,0,3,NI3S8H,"",EUR,9999-12-31 00:00:00.000,2019-02-03 19:00:00.000,3,2,"",2,"867780566","867780566",EXT,AGD,"867780566","867780566",EXT,AGD,"","",#A#TAAD#AGD#VY,"",0,PT,6,2019-02-01 01:53:32.110,"",VY,22957,2019-02-01 01:53:32.110,5530218,2019-02-08 13:37:35.027
105597943,0,1,L632TB,"",EUR,9999-12-31 00:00:00.000,2019-02-15 07:55:00.000,3,0,"",4,AppIOS,VY,EXT,MOBT,AppIOS,VY,EXT,MOBT,"","",#M#APMO#IOS#VY,"",0,ES,7,2019-02-01 02:04:15.210,"",VY,2299761,2019-02-01 02:04:15.210,2299761,2019-02-01 02:04:18.443
105598414,0,4,JIGQ2E,"",EUR,2019-02-02 03:20:15.000,2019-05-17 10:30:00.000,3,2,"",2,WebAnonymous,SYSTEM,WW2,WWW,WebAnonymous,SYSTEM,WW2,WWW,"","",#W#WWWH#WWW#VY,"",0,IT,6,2019-02-01 03:20:15.930,"",VY,21,2019-02-01 03:20:15.930,12,2019-02-02 03:22:10.407
105598974,0,2,JFQDYQ,"",EUR,9999-12-31 00:00:00.000,2019-09-26 10:05:00.000,3,0,"1A",3,GDSMaster,SYSTEM,SYS,GDS,AKLHF2105,SYSTEM,IATAB,AKL,"","",IATA1A,"",0,ES,9,2019-02-01 05:01:50.893,S,VY,19,2019-02-01 05:01:50.893,19,2019-08-26 01:22:41.847
105599002,0,2,BFKNVA,"",USD,9999-12-31 00:00:00.000,2019-02-24 18:10:00.000,3,2,"",2,LevelMember,VY,WWW,LWEB,Level,VY,WWW,LWEB,"","",INET,"",0,US,6,2019-02-01 05:06:13.960,"",VY,5432628,2019-02-01 05:06:13.960,3740810,2019-02-23 15:50:47.137
105599015,0,2,N8D9TY,"",EUR,9999-12-31 00:00:00.000,2019-06-25 16:15:00.000,3,2,"",2,LevelMember,VY,WWW,LWEB,LevelMember,VY,WWW,LWEB,"","",INET,"",0,US,6,2019-02-01 05:07:59.163,"",VY,5432628,2019-02-01 05:07:59.163,3740707,2019-06-24 14:26:11.503
105599208,0,2,BEDMPD,"",EUR,9999-12-31 00:00:00.000,2019-02-04 19:40:00.000,3,2,"",4,ApiIntra,VY,WW2,HDQ,ApiIntra,VY,WW2,HDQ,"","",#X#APIN#AGD,"",0,ES,7,2019-02-01 05:40:57.983,"",VY,2137848,2019-02-01 05:40:57.983,2137848,2019-02-01 23:07:56.100
105599269,0,4,VFVFTD,"",EUR,2019-02-02 05:51:49.000,2019-02-14 20:20:00.000,3,2,"",2,druadan@gmail.co,VY,WWW,WWW,druadan@gmail.co,VY,WWW,WWW,"","",#W#WWWH#WWW#VY,"",0,ES,6,2019-02-01 05:51:49.587,"",VY,3733165,2019-02-01 05:51:49.587,12,2019-02-02 05:54:47.553
105599735,0,2,K7SBNY,"",EUR,9999-12-31 00:00:00.000,2019-02-07 17:30:00.000,3,2,"",2,WebAnonymous,SYSTEM,WW2,WWW,WebAnonymous,SYSTEM,WW2,WWW,"","",#W#WWWA#WWW#VY,"",0,CH,6,2019-02-01 06:47:28.257,"",VY,21,2019-02-01 06:47:28.257,19,2019-02-06 15:12:30.263
105600155,0,2,U78V3L,"",USD,9999-12-31 00:00:00.000,2019-05-27 06:55:00.000,3,2,"",4,PortalWeb,VY,EXT,MOBT,PortalWeb,VY,EXT,MOBT,"","",#M#APMO#WEB#VY,"",0,ES,7,2019-02-01 07:18:14.137,"",VY,2299759,2019-02-01 07:18:14.137,2299759,2019-02-01 07:18:15.903
105600679,0,2,AHGCRX,"",EUR,9999-12-31 00:00:00.000,2019-02-07 20:05:00.000,3,2,"1A",3,GDSMaster,SYSTEM,SYS,GDS,MADBC2617,"78255214",IATAA,MAD,"","",IATA1A,"",0,ES,9,2019-02-01 07:47:07.590,S,VY,19,2019-02-01 07:47:07.590,19,2019-02-04 15:54:33.523
105600795,0,2,II4JUX,"",EUR,9999-12-31 00:00:00.000,2019-05-20 12:50:00.000,3,2,"",2,WebAnonymous,SYSTEM,WW2,WWW,WebAnonymous,SYSTEM,WW2,WWW,"","",#W#WWWA#WWW#VY,"",0,IT,6,2019-02-01 07:53:08.820,"",VY,21,2019-02-01 07:53:08.820,4582686,2019-05-19 12:38:23.333
105600830,0,2,CBEKQM,"",EUR,9999-12-31 00:00:00.000,2019-02-13 17:50:00.000,3,2,"",4,AppAndroid,VY,EXT,MOBT,AppAndroid,VY,EXT,MOBT,"","",#M#APMO#AND#VY,"",0,GB,7,2019-02-01 07:54:21.133,"",VY,2299765,2019-02-01 07:54:21.133,2299765,2019-02-01 07:54:23.460
105601111,0,4,ZGQ2FA,"",EUR,2019-02-02 08:05:01.000,2019-03-05 20:35:00.000,3,2,"",2,WebAnonymous,SYSTEM,WW2,WWW,WebAnonymous,SYSTEM,WW2,WWW,"","",#W#WWWH#WWW#VY,"",0,ES,6,2019-02-01 08:05:01.697,"",VY,21,2019-02-01 08:05:01.697,12,2019-02-02 08:07:04.590
105601303,0,2,MDW34T,"",EUR,9999-12-31 00:00:00.000,2019-08-04 08:55:00.000,3,2,"1A",3,GDSMaster,SYSTEM,SYS,GDS,BIOEL2809,"78232033",IATAA,BIO,"","",IATA1A,"",0,ES,9,2019-02-01 08:12:37.430,S,VY,19,2019-02-01 08:12:37.430,19,2019-05-21 11:20:29.537
105601313,0,4,PHM76X,"",EUR,2019-02-02 08:12:50.000,2019-02-22 17:30:00.000,3,2,"",2,WebAnonymous,SYSTEM,WW2,WWW,WebAnonymous,SYSTEM,WW2,WWW,"","",#W#WWWH#WWW#VY,"",0,CH,6,2019-02-01 08:12:50.620,"",VY,21,2019-02-01 08:12:50.620,12,2019-02-02 08:17:30.090
105602248,0,2,A9ZZUF,"",EUR,9999-12-31 00:00:00.000,2019-03-18 13:10:00.000,3,2,"",1,Jquinonero,VY,DEF,HDQ,Jquinonero,RRPPDIVONL,DEF,HDQ,"","",JQ,"",0,ES,1,2019-02-01 08:38:13.963,"",VY,5602899,2019-02-01 08:38:13.963,3594384,2019-02-15 08:44:48.157
105602400,0,2,I93DVV,"",EUR,9999-12-31 00:00:00.000,2019-02-04 09:40:00.000,3,0,"",4,I3-edreams642139,"64213936",EXT,OTAT,I3-edreams642139,"64213936",EXT,OTAT,"","",#I#AXBO#OTAT#VY,"",0,ES,7,2019-02-01 08:41:22.350,"",VY,2253803,2019-02-01 08:41:22.350,21,2019-02-01 09:05:50.820
105602650,0,2,YEGHNW,"",EUR,9999-12-31 00:00:00.000,2019-07-02 14:45:00.000,3,2,IB,3,GDSMaster,SYSTEM,SYS,GDS,GDSMaster,SYSTEM,SYS,GDS,"","",IATAIB,"",0,ES,9,2019-02-01 08:46:54.913,C,VY,19,2019-02-01 08:46:54.913,19,2019-06-24 07:45:58.410
105603033,0,2,BGIL7X,"",EUR,9999-12-31 00:00:00.000,2019-04-07 05:30:00.000,3,2,"1A",3,GDSMaster,SYSTEM,SYS,GDS,DOHQR0005,SYSTEM,IATAB,DOH,"","",IATA1A,"",0,ES,9,2019-02-01 08:54:34.660,S,VY,19,2019-02-01 08:54:34.660,3540296,2019-04-05 14:12:04.260
105603561,0,2,FFF6WQ,"",EUR,9999-12-31 00:00:00.000,2019-02-03 11:35:00.000,3,2,"",4,AppIOS,VY,EXT,MOBT,AppIOS,VY,EXT,MOBT,"","",#M#APMO#IOS#VY,"",0,ES,7,2019-02-01 09:04:53.843,"",VY,2299761,2019-02-01 09:04:53.843,19,2019-02-02 09:30:58.147
105603840,0,2,U89TSL,"",GBP,9999-12-31 00:00:00.000,2019-02-19 11:35:00.000,3,2,"",4,AppIOS,VY,EXT,MOBT,AppIOS,VY,EXT,MOBT,"","",#M#APMO#IOS#VY,"",0,GB,7,2019-02-01 09:09:54.193,"",VY,2299761,2019-02-01 09:09:54.193,5408461,2019-02-05 08:44:49.080
105604209,0,2,YF1VPG,"",EUR,9999-12-31 00:00:00.000,2019-05-19 17:10:00.000,3,2,"",2,dacman89@yahoo.c,VY,WWW,WWW,dacman89@yahoo.c,VY,WWW,WWW,"","",#W#WWWM#WWW#VY,"",0,RS,6,2019-02-01 09:16:40.837,"",VY,5806667,2019-02-01 09:16:40.837,5408515,2019-05-18 23:52:02.500
105604271,0,2,SI9IFX,"",EUR,9999-12-31 00:00:00.000,2019-02-09 16:35:00.000,3,2,"1A",3,GDSMaster,SYSTEM,SYS,GDS,BCNEL2134,"78217473",IATAB,BCN,"","",IATA1A,"",0,ES,9,2019-02-01 09:18:01.937,S,VY,19,2019-02-01 09:18:01.937,19,2019-02-01 15:23:10.300
105604274,0,2,BJY5HR,"",EUR,9999-12-31 00:00:00.000,2019-02-05 06:15:00.000,3,2,IB,3,GDSMaster,SYSTEM,SYS,GDS,MADEL28AF,"78251714",IATAB,MAD,"","",IATAIB,"",0,ES,9,2019-02-01 09:18:05.063,C,VY,19,2019-02-01 09:18:05.063,19,2019-02-01 15:23:13.990
105604384,0,2,BEVBPQ,"",EUR,9999-12-31 00:00:00.000,2019-03-23 09:55:00.000,3,2,"1A",3,GDSMaster,SYSTEM,SYS,GDS,MELA82335,SYSTEM,IATAB,MEL,"","",IATA1A,"",0,ES,9,2019-02-01 09:19:52.123,S,VY,19,2019-02-01 09:19:52.123,19,2019-03-14 00:30:32.193
105604551,0,2,RBEBMP,"",EUR,9999-12-31 00:00:00.000,2019-02-06 20:05:00.000,3,2,"1A",3,GDSMaster,SYSTEM,SYS,GDS,BCNAX2273,"78210005",IATAB,BCN,"","",IATA1A,"",0,ES,9,2019-02-01 09:22:45.450,S,VY,19,2019-02-01 09:22:45.450,19,2019-02-03 20:56:14.507
105604781,0,4,MEEJ6D,"",EUR,2019-02-02 09:26:43.000,2019-02-13 21:20:00.000,3,2,"",2,WebAnonymous,SYSTEM,WW2,WWW,WebAnonymous,SYSTEM,WW2,WWW,"","",#W#WWWH#WWW#VY,"",0,FR,6,2019-02-01 09:26:43.503,"",VY,21,2019-02-01 09:26:43.503,12,2019-02-02 09:29:23.807
105604903,0,1,GF7FMQ,"",EUR,9999-12-31 00:00:00.000,2019-07-18 17:15:00.000,3,0,"",4,AppAndroid,VY,EXT,MOBT,AppAndroid,VY,EXT,MOBT,"","",#M#APMO#AND#VY,"",0,ES,7,2019-02-01 09:28:43.747,"",VY,2299765,2019-02-01 09:28:43.747,2299765,2019-02-01 09:28:45.247
105605022,0,2,O8TGGV,"",EUR,9999-12-31 00:00:00.000,2019-02-07 21:10:00.000,3,2,"1A",3,GDSMaster,SYSTEM,SYS,GDS,BCNEL2139,"78248715",IATAA,BCN,"","",IATA1A,"",0,ES,9,2019-02-01 09:30:38.987,S,VY,19,2019-02-01 09:30:38.987,19,2019-02-06 08:18:16.463
105605158,0,2,WG2SXD,"",EUR,9999-12-31 00:00:00.000,2019-02-08 18:45:00.000,3,2,"",4,I3-edreams642139,"64213936",EXT,OTAT,I3-edreams642139,"64213936",EXT,OTAT,"","",#I#AXBO#OTAT#VY,"",0,ES,7,2019-02-01 09:32:58.313,"",VY,2253803,2019-02-01 09:32:58.313,5459437,2019-02-07 17:04:53.543
105605247,0,2,RCIPRM,"",EUR,9999-12-31 00:00:00.000,2019-02-06 18:55:00.000,0,2,IB,3,GDSMaster,SYSTEM,SYS,GDS,VLCMP3311,"78221006",IATAB,VLC,"","",IATAIB,"",0,ES,9,2019-02-01 09:34:12.170,C,VY,19,2019-02-01 09:34:12.170,19,2019-02-05 09:55:46.560
105605329,0,2,KDQD9T,"",EUR,9999-12-31 00:00:00.000,2019-02-11 15:20:00.000,3,2,"",4,AppIOS,VY,EXT,MOBT,AppIOS,VY,EXT,MOBT,"","",#M#APMO#IOS#VY,"",0,ES,7,2019-02-01 09:35:43.767,"",VY,2299761,2019-02-01 09:35:43.767,2299761,2019-02-01 09:35:47.360
105605502,0,2,E96NFS,"",EUR,9999-12-31 00:00:00.000,2019-02-07 18:15:00.000,3,2,"",2,WebAnonymous,SYSTEM,WW2,WWW,WebAnonymous,SYSTEM,WW2,WWW,"","",#W#WWWA#WWW#VY,"",0,PT,6,2019-02-01 09:38:17.753,"",VY,21,2019-02-01 09:38:17.753,5361776,2019-02-04 14:07:50.053
105605516,104897295,2,FBTLXM,"",EUR,9999-12-31 00:00:00.000,2019-02-23 15:55:00.000,3,1,"",4,GR-78208292,"78208292",EXT,AGD,GR-78208292,"78208292",EXT,AGD,"","",#G#APIG#AGD#VY,"",0,ES,0,2019-01-17 15:35:27.330,"",VY,4004628,2019-02-01 09:38:30.350,4004628,2019-02-01 09:38:31.177
105605858,0,2,ND7LQJ,"",EUR,9999-12-31 00:00:00.000,2019-02-09 11:45:00.000,3,0,"",4,AppAndroid,VY,EXT,MOBT,AppAndroid,VY,EXT,MOBT,"","",#M#APMO#AND#VY,"",0,ES,7,2019-02-01 09:44:04.397,"",VY,2299765,2019-02-01 09:44:04.397,2299765,2019-02-07 16:08:44.080
105605944,0,2,FIZPFH,"",USD,9999-12-31 00:00:00.000,2019-04-10 07:50:00.000,3,2,"",4,AppIOS,VY,EXT,MOBT,AppIOS,VY,EXT,MOBT,"","",#M#APMO#IOS#VY,"",0,AT,7,2019-02-01 09:45:35.297,"",VY,2299761,2019-02-01 09:45:35.297,2299761,2019-02-01 09:45:37.190
105606164,0,2,G7C3FY,"",EUR,9999-12-31 00:00:00.000,2019-02-06 19:45:00.000,3,2,"1G",3,GDSMaster,SYSTEM,SYS,GDS,"3K1Y","20278591",IATAB,PAR,"","",IATA1G,"",0,FR,9,2019-02-01 09:49:14.753,S,VY,19,2019-02-01 09:49:14.753,19,2019-02-05 11:01:06.410
105606252,0,2,Q6MZYB,"",EUR,9999-12-31 00:00:00.000,2019-08-12 08:20:00.000,3,2,"1A",3,GDSMaster,SYSTEM,SYS,GDS,HAJD12231,"23260963",IATAB,HAJ,"","",IATA1A,"",0,DE,9,2019-02-01 09:50:55.280,S,VY,19,2019-02-01 09:50:55.280,19,2019-02-12 16:10:30.100
105606633,0,2,AJGRRR,"",EUR,9999-12-31 00:00:00.000,2019-02-12 08:00:00.000,3,2,"",2,"78281431","78281431",EXT,BSP,"78281431","78281431",EXT,BSP,"","",#A#AECI#BSP#VY,"",0,ES,6,2019-02-01 09:57:19.047,"",VY,27053,2019-02-01 09:57:19.047,13,2019-02-11 07:59:28.053
105606638,0,2,R7QNGL,"",EUR,9999-12-31 00:00:00.000,2019-02-13 18:55:00.000,3,2,"",2,WebAnonymous,SYSTEM,WW2,WWW,WebAnonymous,SYSTEM,WW2,WWW,"","",#W#WWWA#WWW#VY,"",0,ES,6,2019-02-01 09:57:20.453,"",VY,21,2019-02-01 09:57:20.453,2623414,2019-02-12 15:13:58.180
105607145,0,4,AEZL6Q,"",EUR,2019-02-02 10:05:31.000,2019-03-04 18:10:00.000,3,2,"",2,WebAnonymous,SYSTEM,WW2,WWW,WebAnonymous,SYSTEM,WW2,WWW,"","",#W#WWWH#WWW#VY,"",0,ES,6,2019-02-01 10:05:31.163,"",VY,21,2019-02-01 10:05:31.163,12,2019-02-02 10:10:56.130
105607421,0,2,KK12MR,"",EUR,9999-12-31 00:00:00.000,2019-02-02 21:25:00.000,3,2,"",4,PortalWeb,VY,EXT,MOBT,PortalWeb,VY,EXT,MOBT,"","",#M#APMO#WEB#VY,"",0,GB,7,2019-02-01 10:09:29.447,"",VY,2299759,2019-02-01 10:09:29.447,3578742,2019-02-01 19:55:10.250
105607633,0,3,XF2LGT,"",EUR,9999-12-31 00:00:00.000,2019-04-18 15:35:00.000,3,0,"",4,GR-78289422,"78289422",EXT,AGD,GR-78289422,"78289422",EXT,AGD,"","",#G#APIG#AGD#VY,"",0,ES,7,2019-02-01 10:12:49.927,"",VY,3330831,2019-02-01 10:12:49.927,3330831,2019-04-25 14:24:58.763
105608272,0,2,BDLGWG,"",EUR,9999-12-31 00:00:00.000,2019-04-30 10:45:00.000,3,2,"1G",3,GDSMaster,SYSTEM,SYS,GDS,"6N5","81201072",IATAB,ZRH,"","",IATA1G,"",0,CH,9,2019-02-01 10:22:53.263,S,VY,19,2019-02-01 10:22:53.263,19,2019-04-20 08:36:49.223
105608829,0,2,RES4YG,"",EUR,9999-12-31 00:00:00.000,2019-03-08 06:00:00.000,3,2,"",2,WebAnonymous,SYSTEM,WW2,WWW,WebAnonymous,SYSTEM,WW2,WWW,"","",#W#WWWA#WWW#VY,"",0,ES,6,2019-02-01 10:31:54.617,"",VY,21,2019-02-01 10:31:54.617,19,2019-03-07 04:19:43.543
105609435,0,2,MJV3VE,"",EUR,9999-12-31 00:00:00.000,2019-05-03 06:30:00.000,3,2,"1A",3,GDSMaster,SYSTEM,SYS,GDS,TCIBC2167,"78238425",IATAA,TCI,"","",IATA1A,"",0,ES,9,2019-02-01 10:40:56.910,S,VY,19,2019-02-01 10:40:56.910,3561373,2019-04-02 07:24:34.990
105609532,0,2,X7ZYWB,"",EUR,9999-12-31 00:00:00.000,2019-09-29 06:50:00.000,3,1,"",2,WebAnonymous,SYSTEM,WW2,WWW,WebAnonymous,SYSTEM,WW2,WWW,"","",#W#WWWA#WWW#VY,"",0,ES,6,2019-02-01 10:42:23.377,"",VY,21,2019-02-01 10:42:23.377,5979810,2019-09-28 04:14:12.790
105610790,0,2,J7LEGY,"",EUR,9999-12-31 00:00:00.000,2019-02-09 15:50:00.000,3,2,"",2,"78241925","78241925",EXT,BSP,"78241925","78241925",EXT,BSP,"","",#A#TAAD#BSP#VY,"",0,ES,6,2019-02-01 11:01:38.710,"",VY,24765,2019-02-01 11:01:38.710,5273360,2019-02-08 11:23:56.913
105611088,0,2,HF4H4A,"",EUR,9999-12-31 00:00:00.000,2019-04-23 10:00:00.000,3,1,"",2,WebAnonymous,SYSTEM,WW2,WWW,WebAnonymous,SYSTEM,WW2,WWW,"","",#W#WWWA#WWW#VY,"",0,DE,6,2019-02-01 11:06:11.600,"",VY,21,2019-02-01 11:06:11.600,5488032,2019-04-24 13:28:23.533
105611459,0,2,ODCW2G,"",EUR,9999-12-31 00:00:00.000,2019-05-30 18:55:00.000,3,2,"",4,AppIOS,VY,EXT,MOBT,AppIOS,VY,EXT,MOBT,"","",#M#APMO#IOS#VY,"",0,ES,7,2019-02-01 11:11:14.917,"",VY,2299761,2019-02-01 11:11:14.917,2299761,2019-02-01 11:11:22.463
105611499,0,2,MJMPPE,"",EUR,9999-12-31 00:00:00.000,2019-05-30 18:55:00.000,3,2,"",4,AppIOS,VY,EXT,MOBT,AppIOS,VY,EXT,MOBT,"","",#M#APMO#IOS#VY,"",0,ES,7,2019-02-01 11:11:50.703,"",VY,2299761,2019-02-01 11:11:50.703,2299761,2019-02-01 11:11:54.330
105611650,0,2,V7T33Y,"",EUR,9999-12-31 00:00:00.000,2019-02-13 20:25:00.000,3,2,"",2,"78259720","78259720",EXT,BSP,"78259720","78259720",EXT,BSP,"","",#A#TAAD#BSP#VY,"",0,ES,6,2019-02-01 11:13:55.283,"",VY,2128585,2019-02-01 11:13:55.283,5385470,2019-02-12 18:45:47.960
105611723,0,2,EDR66D,"",EUR,9999-12-31 00:00:00.000,2019-04-12 09:20:00.000,3,2,"",4,I3-edreams642139,"64213936",EXT,OTAT,I3-edreams642139,"64213936",EXT,OTAT,"","",#I#AXBO#OTAT#VY,"",0,ES,7,2019-02-01 11:15:07.210,"",VY,2253803,2019-02-01 11:15:07.210,5530881,2019-04-11 07:25:50.233
105611772,0,2,TF19MT,"",EUR,9999-12-31 00:00:00.000,2019-02-09 15:50:00.000,3,2,"",2,"78241925","78241925",EXT,BSP,"78241925","78241925",EXT,BSP,"","",#A#TAAD#BSP#VY,"",0,FR,6,2019-02-01 11:15:56.993,"",VY,24765,2019-02-01 11:15:56.993,5273360,2019-02-08 11:23:07.960
105611791,0,2,CIPHJE,"",EUR,9999-12-31 00:00:00.000,2019-03-29 15:50:00.000,3,2,"1A",3,GDSMaster,SYSTEM,SYS,GDS,BCNAX2273,"78210005",IATAA,BCN,"","",IATA1A,"",0,ES,9,2019-02-01 11:16:21.877,S,VY,19,2019-02-01 11:16:21.877,19,2019-03-13 15:46:53.963
105612075,0,2,XCGJ3Z,"",EUR,9999-12-31 00:00:00.000,2019-02-04 19:25:00.000,3,2,"",4,ApiIntra,VY,WW2,HDQ,ApiIntra,VY,WW2,HDQ,"","",#X#APIN#AGD,"",0,ES,7,2019-02-01 11:20:13.277,"",VY,2137848,2019-02-01 11:20:13.277,2137848,2019-02-02 02:24:38.427
105612929,0,2,LK77WR,"",EUR,9999-12-31 00:00:00.000,2019-03-21 15:20:00.000,3,2,"",2,WebAnonymous,SYSTEM,WW2,WWW,WebAnonymous,SYSTEM,WW2,WWW,"","",#W#WWWA#WWW#VY,"",0,ES,6,2019-02-01 11:32:53.480,"",VY,21,2019-02-01 11:32:53.480,3540262,2019-03-14 09:18:55.290
105613292,100540332,2,FH9C3H,"",EUR,9999-12-31 00:00:00.000,2019-02-02 14:00:00.000,3,1,"1A",3,GDSMaster,SYSTEM,SYS,GDS,BCNI12429,"78272132",IATAB,BCN,"","",IATA1A,"",0,ES,0,2018-10-03 22:18:01.730,S,VY,19,2019-02-01 11:37:59.630,5408449,2019-02-01 13:26:12.260
105613419,0,2,Z9JK2F,"",EUR,9999-12-31 00:00:00.000,2019-04-29 20:25:00.000,3,2,"",4,I3-barcelo782589,"78258994",EXT,OTAT,I3-barcelo782589,"78258994",EXT,OTAT,"","",#I#AXBO#OTAT#VY,"",0,ES,7,2019-02-01 11:39:58.583,"",VY,2706162,2019-02-01 11:39:58.583,5284095,2019-04-28 18:09:46.047
105613530,0,2,TC3P3Z,"",EUR,9999-12-31 00:00:00.000,2019-05-30 03:00:00.000,3,2,"",2,LevelMember,VY,WWW,LWEB,Level,VY,WWW,LWEB,"","",INET,"",0,FR,6,2019-02-01 11:41:41.937,"",VY,5432628,2019-02-01 11:41:41.937,5988505,2019-05-28 23:48:45.053
105613990,0,4,ZJRWVH,"",EUR,2019-02-02 11:48:25.000,2019-04-25 15:40:00.000,3,2,"",2,WebAnonymous,SYSTEM,WW2,WWW,WebAnonymous,SYSTEM,WW2,WWW,"","",#W#WWWH#WWW#VY,"",0,ES,6,2019-02-01 11:48:25.170,"",VY,21,2019-02-01 11:48:25.170,12,2019-02-02 11:52:29.753
105614171,0,2,PBI7XP,"",EUR,9999-12-31 00:00:00.000,2019-08-06 11:20:00.000,3,2,"",2,WebAnonymous,SYSTEM,WW2,WWW,WebAnonymous,SYSTEM,WW2,WWW,"","",#W#WWWA#WWW#VY,"",0,IT,6,2019-02-01 11:51:09.590,"",VY,21,2019-02-01 11:51:09.590,18,2019-08-05 09:21:28.533
105614179,0,2,CY8CFP,"",EUR,9999-12-31 00:00:00.000,2019-05-26 19:45:00.000,3,2,"",2,avilalta@lorenzo,VY,WWW,WWW,avilalta@lorenzo,VY,WWW,WWW,"","",#W#WWWM#WWW#VY,"",0,ES,6,2019-02-01 11:51:12.843,"",VY,2590333,2019-02-01 11:51:12.843,3594423,2019-05-23 07:05:57.370
